index,dataset,prompt,iou,dice,precision,recall,gt_coverage
211,drywall,segment taping area,0.000000,0.000000,0.000000,0.000000,0.00
165,cracks,segment crack,0.024348,0.047539,0.025668,0.321432,2.74
202,cracks,segment crack,0.053769,0.102050,1.000000,0.053769,26.29
194,drywall,segment taping area,0.113092,0.203204,0.765079,0.117161,1.00
169,cracks,segment crack,0.142914,0.250086,0.972934,0.143484,22.75
19,cracks,segment crack,0.195466,0.327013,0.611071,0.223239,2.80
301,drywall,segment taping area,0.221701,0.362938,0.238927,0.754604,20.38
213,cracks,segment crack,0.225728,0.368317,0.996422,0.225911,4.21
232,cracks,segment crack,0.237727,0.384135,0.991178,0.238231,11.97
131,cracks,segment crack,0.262715,0.416111,0.262857,0.997936,2.37
293,cracks,segment crack,0.263091,0.416583,0.998682,0.263182,4.22
208,drywall,segment taping area,0.265217,0.419243,0.836222,0.279748,2.91
369,cracks,segment crack,0.271771,0.427390,0.397181,0.462573,2.63
116,cracks,segment crack,0.282876,0.441003,0.995189,0.283263,15.15
94,cracks,segment crack,0.290788,0.450558,1.000000,0.290788,4.67
218,cracks,segment crack,0.293945,0.454339,0.566011,0.379471,3.87
319,cracks,segment crack,0.309235,0.472391,0.309451,0.997753,1.09
227,cracks,segment crack,0.319347,0.484098,0.998553,0.319495,20.04
317,cracks,segment crack,0.321522,0.486594,1.000000,0.321522,4.37
124,cracks,segment crack,0.322240,0.487416,0.337017,0.880231,8.16
174,cracks,segment crack,0.329211,0.495348,0.460022,0.536551,7.73
381,cracks,segment crack,0.330397,0.496690,0.988290,0.331696,1.24
44,cracks,segment crack,0.334014,0.500765,0.337614,0.969061,5.89
78,cracks,segment crack,0.350823,0.519421,0.972094,0.354392,5.38
107,cracks,segment crack,0.355780,0.524834,0.355962,0.998564,1.19
328,cracks,segment crack,0.357994,0.527240,0.990063,0.359285,12.39
244,cracks,segment crack,0.360698,0.530166,0.365268,0.966472,0.96
199,cracks,segment crack,0.363761,0.533467,0.366621,0.979003,3.92
212,cracks,segment crack,0.368602,0.538655,0.370447,0.986667,0.53
73,cracks,segment crack,0.368867,0.538938,0.368867,1.000000,0.87
264,cracks,segment crack,0.369257,0.539354,0.380812,0.924064,3.52
372,cracks,segment crack,0.369960,0.540103,0.369960,1.000000,0.60
134,cracks,segment crack,0.374464,0.544888,0.374502,0.999734,0.92
119,cracks,segment crack,0.379242,0.549929,0.380260,0.992994,0.66
216,cracks,segment crack,0.392869,0.564115,0.469940,0.705496,4.01
300,cracks,segment crack,0.397467,0.568839,0.609809,0.533028,1.81
9,cracks,segment crack,0.410899,0.582464,0.411182,0.998327,1.17
288,drywall,segment taping area,0.414196,0.585769,0.524545,0.663175,1.54
87,cracks,segment crack,0.425447,0.596932,0.998394,0.425739,7.49
370,cracks,segment crack,0.430875,0.602254,0.446514,0.924823,0.86
105,drywall,segment taping area,0.434226,0.605520,0.569789,0.646032,1.54
224,cracks,segment crack,0.439341,0.610476,0.746720,0.516277,7.91
276,cracks,segment crack,0.439602,0.610727,0.980285,0.443523,8.21
150,cracks,segment crack,0.441133,0.612203,0.640192,0.586559,2.11
391,cracks,segment crack,0.443854,0.614819,0.760189,0.516121,1.98
123,drywall,segment taping area,0.446576,0.617425,0.468924,0.903571,1.03
