index,dataset,prompt,iou,dice,precision,recall,gt_coverage
211,drywall,segment taping area,0.000000,0.000000,0.000000,0.000000,0.00
242,cracks,segment crack,0.000000,0.000000,0.000000,0.000000,1.31
202,cracks,segment crack,0.050492,0.096130,0.685683,0.051688,26.29
204,cracks,segment crack,0.078324,0.145269,0.169157,0.127293,4.13
221,drywall,segment taping area,0.112059,0.201533,0.112793,0.945076,4.56
169,cracks,segment crack,0.135134,0.238093,0.957382,0.135951,22.75
174,cracks,segment crack,0.197682,0.330108,0.509527,0.244140,7.73
224,cracks,segment crack,0.212917,0.351082,0.795705,0.225229,7.91
124,cracks,segment crack,0.213931,0.352459,0.546976,0.259998,8.16
165,cracks,segment crack,0.214888,0.353757,0.983753,0.215653,2.74
227,cracks,segment crack,0.218307,0.358377,0.978370,0.219365,20.04
333,cracks,segment crack,0.227043,0.370066,0.277239,0.556344,7.36
54,cracks,segment crack,0.237500,0.383838,0.598125,0.282595,1.54
131,cracks,segment crack,0.244528,0.392965,0.244758,0.996182,2.37
56,cracks,segment crack,0.249211,0.398990,0.249272,0.999027,1.25
94,cracks,segment crack,0.254491,0.405728,1.000000,0.254491,4.67
89,drywall,segment taping area,0.261102,0.414086,0.266412,0.929083,7.63
293,cracks,segment crack,0.261589,0.414698,0.999558,0.261619,4.22
301,drywall,segment taping area,0.263950,0.417659,0.277370,0.845094,20.38
312,drywall,segment taping area,0.266016,0.420241,0.266119,0.998554,10.30
369,cracks,segment crack,0.275640,0.432160,0.365650,0.528244,2.63
319,cracks,segment crack,0.280631,0.438270,0.280666,0.999551,1.09
98,drywall,segment taping area,0.292165,0.452210,0.292443,0.996754,2.63
254,cracks,segment crack,0.295953,0.456734,0.297815,0.979312,1.12
57,cracks,segment crack,0.297592,0.458684,0.703600,0.340247,7.77
392,cracks,segment crack,0.297594,0.458686,0.331028,0.746608,7.58
123,drywall,segment taping area,0.298128,0.459319,0.300856,0.970476,1.03
