index,dataset,prompt,iou,dice,precision,recall,gt_coverage
211,drywall,segment taping area,0.000000,0.000000,0.000000,0.000000,0.00
242,cracks,segment crack,0.000000,0.000000,0.000000,0.000000,1.31
204,cracks,segment crack,0.059411,0.112158,0.088936,0.151793,4.13
202,cracks,segment crack,0.067579,0.126602,0.565721,0.071277,26.29
218,cracks,segment crack,0.099759,0.181420,0.431108,0.114882,3.87
221,drywall,segment taping area,0.112110,0.201617,0.112956,0.937359,4.56
169,cracks,segment crack,0.147185,0.256602,0.991625,0.147368,22.75
319,cracks,segment crack,0.155754,0.269529,0.155815,0.997528,1.09
174,cracks,segment crack,0.183166,0.309619,0.557335,0.214349,7.73
165,cracks,segment crack,0.186736,0.314706,0.210041,0.627282,2.74
369,cracks,segment crack,0.201464,0.335365,0.238175,0.566552,2.63
56,cracks,segment crack,0.218893,0.359167,0.218986,0.998054,1.25
89,drywall,segment taping area,0.233916,0.379144,0.239020,0.916352,7.63
224,cracks,segment crack,0.234043,0.379310,0.876607,0.242016,7.91
131,cracks,segment crack,0.244851,0.393381,0.246147,0.978947,2.37
94,cracks,segment crack,0.252977,0.403801,1.000000,0.252977,4.67
57,cracks,segment crack,0.254570,0.405828,0.543398,0.323843,7.77
254,cracks,segment crack,0.255122,0.406530,0.256163,0.984321,1.12
232,cracks,segment crack,0.257177,0.409134,0.989131,0.257905,11.97
293,cracks,segment crack,0.271501,0.427056,0.999787,0.271517,4.22
124,cracks,segment crack,0.279762,0.437209,0.351640,0.577817,8.16
301,drywall,segment taping area,0.288951,0.448351,0.296296,0.920989,20.38
201,cracks,segment crack,0.299779,0.461277,0.299867,0.999027,2.26
372,cracks,segment crack,0.308881,0.471977,0.309230,0.996353,0.60
312,drywall,segment taping area,0.313757,0.477648,0.314123,0.996301,10.30
333,cracks,segment crack,0.313870,0.477779,0.353833,0.735379,7.36
73,cracks,segment crack,0.321973,0.487110,0.321973,1.000000,0.87
